App Name,Ad Name,Start Date,End Date,Time Zone,Currency,Keyword,Match Type,Status,Bid,Impressions,Clicks,Click Through Rate,Installs,Install Rate,Cost Per Click,Cost Per Install,Spend,Average Position,Visibility,Customers,Revenue,Return On Spend,Cost Per Customer,Conversion Rate
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,incart upsale,exact,active,1.0,1,0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,upsell bundles,exact,active,7.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,sell more,exact,paused,5.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,increase sales,exact,paused,5.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,product offer,exact,paused,5.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,add to cart,exact,paused,5.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,cart page,exact,paused,10.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,cross selling,exact,paused,5.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,crossell,exact,paused,3.5,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,product add-on,exact,paused,5.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,product upsell,exact,paused,10.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,product upselling,exact,paused,5.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,upsell offer,exact,paused,5.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
In Cart Upsell & Cross Sell,Exact Match Starting 021420,2021-05-04,2021-06-02,UTC,USD,offer products,exact,paused,5.0,0,0,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,,,
