Date,Billing Period Start,Billing Period End,Payment Duration,Shop Name,Shop Domain,Shop Email,Shop Country,Details,Charge Type,Partner Sale,Shopify Fee,Partner Share,Charge ID
2021-06-13 09:00:54 UTC,2021-06-05 00:00:00 UTC,2021-07-05 00:00:00 UTC,,FamilyShopDirect,familyshopdirect.myshopify.com,family@globoltrendz.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,19.0,3.8,15.2,gid://shopify/AppSubscription/13141639301
2021-06-13 09:00:54 UTC,2021-06-05 00:00:00 UTC,2021-07-05 00:00:00 UTC,,NewLivingSolutions,newlivingsolutions.myshopify.com,living@globoltrendz.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,19.0,3.8,15.2,gid://shopify/AppSubscription/13188497546
2021-06-13 09:00:54 UTC,2021-06-05 00:00:00 UTC,2021-07-05 00:00:00 UTC,,Newtreenaturals,newtreenaturals.myshopify.com,tree@globoltrendz.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,19.0,3.8,15.2,gid://shopify/AppSubscription/13118374024
2021-06-13 09:00:53 UTC,2021-05-14 00:00:00 UTC,2021-06-13 00:00:00 UTC,,True Wish Shop,true-wish-shop.myshopify.com,true@globoltrendz.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,19.0,3.8,15.2,gid://shopify/AppSubscription/12174131259
2021-06-13 09:00:53 UTC,2021-05-17 00:00:00 UTC,2021-06-16 00:00:00 UTC,,Trends,trendiestop.myshopify.com,trendie@globoltrendz.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,19.0,3.8,15.2,gid://shopify/AppSubscription/12515606614
2021-06-13 09:00:52 UTC,,,,Winona Wine,winona-wine.myshopify.com,cam@winonawine.com,AU,Advanced Shopify plan,App sale – usage,59.99,12.0,47.99,gid://shopify/AppUsageRecord/81653087
2021-06-13 09:00:50 UTC,,,,VOID HOMME,void-homme.myshopify.com,voidhomme@gmail.com,GB,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/81017627
2021-06-13 09:00:47 UTC,,,,nobnaturals,nobnaturals.myshopify.com,admin@nobnaturals.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/77835993
2021-06-13 09:00:44 UTC,2021-05-16 00:00:00 UTC,2021-06-15 00:00:00 UTC,,Lina's Body Butters,lucky-skin-co.myshopify.com,linasbodybutters@gmail.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/11515723866
2021-06-13 09:00:21 UTC,,,,Life Enhancement Products,life-enhancement-products.myshopify.com,christiant.powell@gmail.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/82090291
2021-06-13 09:00:21 UTC,,,,Weighted Evolution,weighted-evolution.myshopify.com,Orders@weightedevolution.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/78569211
2021-06-13 09:00:20 UTC,,,,Camps Australia Wide,campsaustraliawide.myshopify.com,info@campsaustraliawide.com,AU,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/79741193
2021-06-13 09:00:20 UTC,,,,Rowan,forrowan.myshopify.com,info@forrowan.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/79072297
2021-06-13 09:00:18 UTC,,,,Live Fully Now,live-fully-now.myshopify.com,dave@youthmedianetwork.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81828405
2021-06-13 09:00:13 UTC,,,,netgear-gi,netgear-gi.myshopify.com,amit@netgear.gi,GI,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/80511471
2021-06-13 09:00:12 UTC,,,,BodyFX.com,bodyfx-com.myshopify.com,james@bodyfx.com,US,Advanced Shopify plan,App sale – usage,59.99,12.0,47.99,gid://shopify/AppUsageRecord/78403379
2021-06-13 08:58:54 UTC,,,,Boka ,boka-oral-care.myshopify.com,hello@boka.com,US,Shopify Plus plan,App sale – usage,99.99,20.0,79.99,gid://shopify/AppUsageRecord/78234621
2021-06-13 08:58:49 UTC,,,,PresentPet,lionsrealm.myshopify.com,souami63@gmail.com,GB,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/77835941
2021-06-13 08:56:48 UTC,,,,La PIEL,la-pop-shop.myshopify.com,info@mail.mylapiel.com,HR,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/81017401
2021-06-13 08:52:34 UTC,,,,Silverback Gymwear,silverbackgymwear.myshopify.com,info@silverbackgymwear.com,GB,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/80511209
2021-06-13 08:44:59 UTC,,,,YlONN.nl,ylonn.myshopify.com,dennis@ylonn.com,NL,Shopify Plus plan (80% discount),App sale – usage,20.0,4.0,16.0,gid://shopify/AppUsageRecord/77836053
2021-06-13 08:44:59 UTC,,,,YIONN.de,yionn-de.myshopify.com,dennis@vanlarenfort.nl,NL,Shopify Plus plan,App sale – usage,99.99,20.0,79.99,gid://shopify/AppUsageRecord/79072405
2021-06-13 08:44:52 UTC,,,,Lex Land Store,lex-land-store.myshopify.com,lex@lexlandmusic.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/80511315
2021-06-13 08:44:40 UTC,2021-05-17 00:00:00 UTC,2021-06-16 00:00:00 UTC,,Studio Pilates International Shop,studio-pilates.myshopify.com,jess@studiopilates.com,AU,In Cart Upsell - Beginner,App sale – 30-day subscription,19.99,4.0,15.99,gid://shopify/AppSubscription/12402950193
2021-06-13 08:44:35 UTC,2021-05-23 00:00:00 UTC,2021-06-22 00:00:00 UTC,,Montana Mex,montana-mex.myshopify.com,operations@montanamex.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/1129873496
2021-06-13 08:44:35 UTC,,,,Yaya Mimì Eyewear,yaya-mimi.myshopify.com,info@yaya-mimi.com,IT,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/79072339
2021-06-13 08:07:45 UTC,,,,indie tribe,indie-tribe-shop.myshopify.com,support@indietribe.us,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81174727
2021-06-13 08:07:44 UTC,,,,Jasmine Beauty,technolightt.myshopify.com,Support@jasminesbeauty.co,GB,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81174167
2021-06-13 08:01:45 UTC,,,,VOILUNO,voiluno.myshopify.com,myvoiluno@gmail.com,LV,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/80068397
2021-06-13 07:54:54 UTC,,,,GODZ TEMPLE,godz-temple.myshopify.com,mygodztemple@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81174951
2021-06-13 07:37:33 UTC,,,,MYIZOCART,myizocart.myshopify.com,izocart@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/78234771
2021-06-13 07:37:27 UTC,,,,Nuvino Sverige,nuvinose.myshopify.com,wjewiko@gmail.com,SE,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/81175117
2021-06-13 07:33:37 UTC,,,,Vitamins of America,vitamins-of-america.myshopify.com,wbrown@drmresources.com,US,Advanced Shopify plan,App sale – usage,59.99,12.0,47.99,gid://shopify/AppUsageRecord/80510659
2021-06-13 07:33:19 UTC,,,,BIOV8 Clinics,biov8.myshopify.com,care@biov8.com.au,AU,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/82148393
2021-06-13 07:31:35 UTC,,,,Viktilabs,gesundheitsportal.myshopify.com,shop@viktilabs.de,DE,Advanced Shopify plan,App sale – usage,59.99,12.0,47.99,gid://shopify/AppUsageRecord/78064603
2021-06-13 07:18:00 UTC,,,,Ornamentus Jewelry,ornamentus-jewelry.myshopify.com,evidentexile@gmail.com,DE,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81652825
2021-06-13 07:17:52 UTC,,,,Ezra Zion Wine,ezra-zion-wine.myshopify.com,kyle@ezrazion.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/80068579
2021-06-13 07:17:31 UTC,,,,Snoozify Pet,snoozify-pet.myshopify.com,account@snoozifypet.com,AU,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/78569239
2021-06-13 07:17:14 UTC,2021-05-25 00:00:00 UTC,2021-06-24 00:00:00 UTC,,Reserved Pleasure,reservedpleasure.myshopify.com,jehle@reservedpleasure.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,19.0,3.8,15.2,gid://shopify/AppSubscription/12340559981
2021-06-13 07:16:47 UTC,2021-05-24 00:00:00 UTC,2021-06-23 00:00:00 UTC,,Depot45,45morestore.myshopify.com,michel.ham@fortyfivemore.com,NL,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/5245927509
2021-06-13 07:16:35 UTC,,,,Pet Crafty,pet-crafty.myshopify.com,account@petcrafty.com,AU,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/77836049
2021-06-13 07:15:30 UTC,2021-06-12 00:00:00 UTC,2021-07-12 00:00:00 UTC,,PortaCharge,portachargeone.myshopify.com,portachargeusa@gmail.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/5036769328
2021-06-13 07:15:27 UTC,2021-05-13 00:00:00 UTC,2021-06-12 00:00:00 UTC,,PortaCharge,portachargeone.myshopify.com,portachargeusa@gmail.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/5036769328
2021-06-13 07:15:26 UTC,,,,Kwaitokoeksister,kwaitokoeksister.myshopify.com,santonie19@gmail.com,ZA,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81331055
2021-06-13 07:14:47 UTC,2021-05-22 00:00:00 UTC,2021-06-21 00:00:00 UTC,,Pinto Trailers Ltd,pinto-trailers.myshopify.com,sales@pintotrailers.co.nz,NZ,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/10084286531
2021-06-13 07:14:40 UTC,,,,Bad Shepherd Brewing Co,bad-shepherd-brewing-co.myshopify.com,liam@badshepherd.com.au,AU,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81828613
2021-06-13 07:14:22 UTC,,,,leevje GmbH,hejcrew.myshopify.com,david@leevje.com,DE,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/82148531
2021-06-13 07:14:12 UTC,2021-06-12 00:00:00 UTC,2021-07-12 00:00:00 UTC,,Haydel's Game Calls,haydelscalls.myshopify.com,phaydel@haydels.com,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/3745284214
2021-06-13 07:13:58 UTC,,,,Lunarly Staging,lunarly-development.myshopify.com,sysops@bulubox.com,US,Shopify Plus plan,App sale – usage,99.99,20.0,79.99,gid://shopify/AppUsageRecord/77835703
2021-06-13 07:12:45 UTC,2021-06-04 00:00:00 UTC,2021-07-04 00:00:00 UTC,,SupportBlackColleges,supportblackcollege.myshopify.com,Contact@supportblackcolleges.org,US,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/5226168363
2021-06-13 07:09:31 UTC,,,,Michel Germain Parfums Ltd.,michelgermain.myshopify.com,support@michelgermain.com,CA,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/78234729
2021-06-13 07:07:46 UTC,,,,CAM Jewelry,cam-jewelry.myshopify.com,christen@cam-jewelry.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/82465823
2021-06-13 07:06:22 UTC,2021-05-23 00:00:00 UTC,2021-06-22 00:00:00 UTC,,plantnmore,itallgrows.myshopify.com,info@plantnmore.com,KW,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/10654187617
2021-06-13 07:05:40 UTC,,,,Vetro Power India,vetro-power.myshopify.com,customercare@vetropower.com,IN,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/82148403
2021-06-13 07:05:24 UTC,,,,GATORZ JAPAN,gatorzjapan.myshopify.com,koike@fibik.com,JP,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/78234711
2021-06-13 07:04:04 UTC,,,,Sound Oracle Sound Kits,soundoracle-net.myshopify.com,anom360@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/78569273
2021-06-13 07:03:49 UTC,,,,Heavenly Sweets,heavenly-sweets-4.myshopify.com,jarred@heavenlysweets.co.uk,GB,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/78064697
2021-06-13 07:03:25 UTC,2021-05-23 00:00:00 UTC,2021-06-22 00:00:00 UTC,,4Rails.com,4rails-com.myshopify.com,orders@4rails.com,US,In Cart Upsell - Business plan,App sale – 30-day subscription,19.0,3.8,15.2,gid://shopify/AppSubscription/2227269
2021-06-13 07:03:01 UTC,,,,Arccos Golf,arccos-dev.myshopify.com,alex@arccosgolf.com,US,Shopify Plus plan (20% discount),App sale – usage,79.99,16.0,63.99,gid://shopify/AppUsageRecord/82312239
2021-06-13 07:03:01 UTC,,,,Arccos Golf,arccos-golf-uk.myshopify.com,alex@arccosgolf.com,GB,Shopify Plus plan (20% discount),App sale – usage,79.99,16.0,63.99,gid://shopify/AppUsageRecord/80349531
2021-06-13 07:03:00 UTC,,,,Arccos Golf,arccos-golf-eu.myshopify.com,alex@arccosgolf.com,GB,Shopify Plus plan (20% discount),App sale – usage,79.99,16.0,63.99,gid://shopify/AppUsageRecord/79583443
2021-06-13 07:00:35 UTC,,,,Sake Social,sake.myshopify.com,Orders@sakesocial.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/81476121
2021-06-13 07:00:31 UTC,2021-06-07 00:00:00 UTC,2021-07-07 00:00:00 UTC,,Brooklyn Slate Company,brooklyn-slate.myshopify.com,hello@brooklynslate.com,US,In Cart Upsell - Business plan,App sale – 30-day subscription,19.0,3.8,15.2,gid://shopify/AppSubscription/2784324
2021-06-13 00:09:53 UTC,,,,ITZAURI,itzauri.myshopify.com,myitzauri@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/80213855
2021-06-13 00:05:09 UTC,2021-05-11 00:00:00 UTC,2021-06-10 00:00:00 UTC,,Pillars Shop,pillars-shop.myshopify.com,info@pillarsbrewery.com,GB,In Cart Upsell - Beginner plan,App sale – 30-day subscription,19.99,4.0,15.99,gid://shopify/AppSubscription/14625931323
2021-06-13 00:04:51 UTC,,,,Skinfolio Park Royal,skinfolio-park-royal.myshopify.com,info@skinfolio.com,CA,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/80069111
2021-06-13 00:02:03 UTC,,,,C MAA Global,c-maa-international.myshopify.com,c.maastore@gmail.com,SG,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/79072147
2021-06-13 00:00:56 UTC,2021-05-12 00:00:00 UTC,2021-06-11 00:00:00 UTC,,Love Lockets,lovelockets.myshopify.com,hayley@beinc.com.au,AU,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/7466898
2021-06-13 00:00:13 UTC,,,,VESTIGE,vestigebrand.myshopify.com,info@vestigebrand.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/80068559
2021-06-12 21:09:29 UTC,,,,MYBESSSTORE,mybessstore.myshopify.com,support@mybessstore.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/79741459
2021-06-12 20:42:51 UTC,,,,Talyeh Galvez,tayleh-galvez.myshopify.com,aliengirltalyeh@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81653047
2021-06-12 18:09:35 UTC,,,,TarotArts,tarotarts.myshopify.com,CustomerCare@TarotArts.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/82311941
2021-06-12 17:48:31 UTC,,,,Aria Lattner,aria-carter.myshopify.com,Mariko@arialattner.com,US,Shopify plan,App sale – usage,29.99,6.0,23.99,gid://shopify/AppUsageRecord/81331035
2021-06-12 17:35:18 UTC,,,,DMVComputerman,dmvcomputerman.myshopify.com,DMVCOMPUTERMAN@GMAIL.COM,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81992535
2021-06-12 14:31:00 UTC,2021-06-12 00:00:00 UTC,2021-07-12 00:00:00 UTC,,Customize You Shop,customize-you-shop.myshopify.com,customizeyou.info@gmail.com,DE,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/11843534912
2021-06-12 10:01:29 UTC,2021-05-20 00:00:00 UTC,2021-06-19 00:00:00 UTC,,Pajar Canada,pajar-canada6.myshopify.com,raffi@pajar.com,CA,In Cart Upsell - Beginner plan,App sale – 30-day subscription,10.5,2.1,8.4,gid://shopify/AppSubscription/11772821644
2021-06-12 10:01:29 UTC,2021-05-21 00:00:00 UTC,2021-06-20 00:00:00 UTC,,Pajar Canada FR,pajar-canada-fr.myshopify.com,raffi@pajar.com,CA,In Cart Upsell - Beginner plan,App sale – 30-day subscription,14.0,2.8,11.2,gid://shopify/AppSubscription/11770953776
2021-06-12 10:01:29 UTC,2021-05-21 00:00:00 UTC,2021-06-20 00:00:00 UTC,,Pajar Canada USA,pajar-canada5.myshopify.com,raffi@pajar.com,CA,In Cart Upsell - Beginner plan,App sale – 30-day subscription,10.5,2.1,8.4,gid://shopify/AppSubscription/11804704900
2021-06-12 10:00:52 UTC,2021-06-06 00:00:00 UTC,2021-07-06 00:00:00 UTC,,KetoLogic,ketologic.myshopify.com,hwilkinson@disruptive-enterprises.com,US,In Cart Upsell - Professional plan,App sale – 30-day subscription,39.0,7.8,31.2,gid://shopify/AppSubscription/3421372461
2021-06-12 10:00:23 UTC,,,,W&P Stage,wandp-stage.myshopify.com,dev@assemblybrands.com,US,Shopify Plus plan,App sale – usage,99.99,20.0,79.99,gid://shopify/AppUsageRecord/78064619
2021-06-12 09:14:23 UTC,,,,FOXXYPRODUCTS,foxxyproducts.myshopify.com,ljoanjetty@aol.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/81652885
2021-06-12 09:08:17 UTC,,,,Billion Dollar Gen,billion-dollar-gen.myshopify.com,billiondollargen@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/78738009
2021-06-12 09:08:11 UTC,,,,PIINKLUNA,piinkluna.myshopify.com,mypiinkluna@gmail.com,US,Basic Shopify plan,App sale – usage,19.99,4.0,15.99,gid://shopify/AppUsageRecord/79741403
